车辆编号,进入时刻 (秒),速度 (米/秒),离开时刻 (秒),停留时间
313,1573.93,10.77,1620.35,46.42
314,1577.27,12.41,1617.58,40.30
315,1581.62,11.68,1624.42,42.80
316,1586.67,10.67,1633.52,46.85
317,1592.67,11.27,1637.03,44.35
318,1597.10,13.41,1634.39,37.29
319,1602.63,12.36,1643.09,40.46
320,1609.07,12.06,1650.53,41.46
321,1614.65,14.15,1649.97,35.33
322,1619.44,14.83,1653.17,33.73
323,1624.81,14.69,1658.85,34.03
324,1629.21,10.91,1675.06,45.85
325,1634.30,12.87,1673.14,38.84
326,1639.14,14.21,1674.33,35.19
327,1644.48,11.01,1689.90,45.42
328,1649.07,10.82,1695.28,46.22
329,1654.46,13.33,1691.98,37.52
330,1659.04,12.62,1698.67,39.63
331,1664.91,11.96,1706.71,41.80
332,1669.58,14.08,1705.09,35.50
333,1672.55,12.31,1713.15,40.61
334,1676.54,11.51,1719.99,43.45
335,1681.56,11.16,1726.36,44.80
336,1688.23,14.50,1722.72,34.49
337,1694.06,14.53,1728.47,34.41
338,1696.85,13.12,1734.96,38.11
339,1700.37,10.70,1747.12,46.74
340,1706.52,13.97,1742.31,35.79
341,1712.15,14.47,1746.71,34.56
342,1719.42,13.94,1755.28,35.86
343,1723.96,11.24,1768.44,44.47
344,1728.11,13.72,1764.56,36.44
345,1733.18,13.81,1769.38,36.20
346,1737.71,14.38,1772.47,34.76
347,1743.74,10.55,1791.12,47.38
348,1748.23,14.23,1783.36,35.13
349,1752.96,13.99,1788.71,35.75
350,1756.98,10.75,1803.50,46.51
351,1762.74,13.60,1799.51,36.76
352,1766.82,13.21,1804.68,37.86
353,1772.23,11.26,1816.64,44.41
354,1779.11,11.73,1821.74,42.63
355,1782.33,12.31,1822.95,40.62
356,1788.83,14.74,1822.76,33.93
357,1794.11,12.53,1834.01,39.91
358,1797.98,13.06,1836.27,38.29
359,1803.09,13.48,1840.17,37.08
360,1808.82,14.61,1843.03,34.22
361,1813.03,12.88,1851.84,38.82
362,1818.50,13.03,1856.86,38.36
363,1825.09,14.67,1859.17,34.08
364,1829.58,14.63,1863.76,34.18
365,1833.59,14.92,1867.09,33.50
366,1838.46,14.19,1873.69,35.22
367,1843.52,12.96,1882.11,38.59
368,1849.61,12.00,1891.30,41.68
369,1854.46,14.01,1890.13,35.68
370,1859.03,10.02,1908.91,49.88
371,1863.02,12.69,1902.43,39.41
372,1866.36,14.60,1900.61,34.25
373,1870.07,13.69,1906.60,36.53
374,1873.78,12.26,1914.56,40.78
375,1878.52,10.70,1925.23,46.71
376,1882.01,10.88,1927.96,45.95
377,1884.32,14.57,1918.62,34.31
378,1889.26,11.81,1931.59,42.33
379,1896.11,10.07,1945.79,49.67
380,1902.24,13.32,1939.78,37.54
381,1906.97,10.43,1954.92,47.95
382,1910.86,14.98,1944.23,33.37
383,1918.44,10.34,1966.81,48.38
384,1923.50,13.75,1959.86,36.36
385,1928.69,11.03,1974.04,45.35
386,1933.55,10.95,1979.20,45.65
387,1938.52,12.82,1977.51,38.99
388,1942.97,10.33,1991.38,48.41
389,1947.72,12.62,1987.33,39.61
390,1954.22,12.20,1995.19,40.97
391,1960.47,10.78,2006.87,46.40
392,1963.39,10.91,2009.23,45.83
393,1966.99,13.22,2004.81,37.82
394,1971.21,12.04,2012.73,41.52
395,1977.15,10.14,2026.48,49.33
396,1983.42,11.11,2028.42,45.01
397,1989.14,10.10,2038.65,49.51
398,1993.01,10.52,2040.54,47.53
399,1997.48,13.26,2035.18,37.70
400,2002.97,11.19,2047.65,44.68
401,2007.73,13.61,2044.47,36.73
402,2012.36,14.28,2047.38,35.02
403,2017.00,13.34,2054.48,37.48
404,2023.16,11.02,2068.51,45.35
405,2028.75,10.07,2078.43,49.68
406,2033.44,10.43,2081.39,47.95
407,2038.77,12.11,2080.07,41.30
408,2042.52,14.46,2077.09,34.57
409,2046.99,11.30,2091.25,44.26
410,2053.04,11.90,2095.06,42.02
411,2056.49,13.12,2094.59,38.11
412,2062.09,12.05,2103.60,41.50
413,2065.01,11.47,2108.59,43.58
414,2071.71,14.74,2105.62,33.92
415,2076.16,14.34,2111.02,34.86
416,2081.56,12.44,2121.76,40.20
417,2086.67,12.13,2127.91,41.23
418,2091.82,10.11,2141.27,49.44
419,2097.13,13.17,2135.11,37.97
420,2100.42,11.29,2144.71,44.29
421,2105.59,14.92,2139.10,33.51
422,2110.41,12.63,2150.00,39.59
423,2114.87,10.09,2164.41,49.54
424,2119.09,14.57,2153.40,34.31
425,2124.29,11.37,2168.26,43.97
426,2128.31,12.77,2167.46,39.15
427,2134.34,11.03,2179.66,45.32
428,2139.81,10.05,2189.54,49.73
429,2145.07,13.00,2183.52,38.45
430,2151.05,13.33,2188.57,37.52
431,2154.21,12.59,2193.91,39.70
432,2157.93,10.23,2206.78,48.85
433,2163.45,10.41,2211.46,48.01
434,2167.72,13.02,2206.14,38.41
435,2172.11,11.44,2215.80,43.69
436,2175.70,11.78,2218.15,42.45
437,2179.73,12.83,2218.69,38.97
438,2185.78,12.38,2226.17,40.39
439,2191.27,13.66,2227.87,36.60
440,2196.46,11.07,2241.61,45.15
441,2200.88,12.48,2240.94,40.06
442,2206.00,12.98,2244.51,38.51
443,2212.15,10.53,2259.62,47.47
444,2216.45,10.38,2264.64,48.19
445,2221.42,13.44,2258.61,37.20
446,2228.19,12.17,2269.26,41.07
447,2233.89,14.00,2269.62,35.72
448,2238.33,13.47,2275.44,37.11
449,2243.95,11.80,2286.31,42.36
450,2247.38,10.46,2295.19,47.81
451,2252.31,10.93,2298.07,45.76
452,2257.93,12.71,2297.27,39.34
453,2263.31,14.03,2298.94,35.63
454,2268.92,13.29,2306.53,37.61
455,2274.75,11.25,2319.21,44.45
456,2280.21,12.45,2320.38,40.17
457,2285.64,10.90,2331.50,45.86
458,2290.85,12.84,2329.79,38.94
